
Name                                                                            Value
Microsoft.AzureCAT.AzureEnhancedMonitoring.AzureCATExtensionHandler             2.2.0.68
Microsoft.AzureCAT.AzureEnhancedMonitoring.MonitorX64Linux                      1.93.0.0
Microsoft.AzureCAT.AzureEnhancedMonitoring.MonitorX64Windows                    1.93.0.0
Microsoft.AzureCAT.AzureEnhancedMonitoring.Test.MonitorX64Linux                 1.98.0.0
Microsoft.AzureCAT.AzureEnhancedMonitoring.Test.MonitorX64Windows               1.98.0.0
Microsoft.AzureData.LinuxAgent.SqlServer                                        1.1.3307.355
Microsoft.AzureData.WindowsAgent.SqlServer                                      1.1.3307.355
Microsoft.AzureSecurity.JITAccess.VMJITAccessExtension                          1.0.1.0
Microsoft.AzureStack.Observability.EdgeRemoteSupport                            1.0.10.2
Microsoft.AzureStack.Observability.LinuxEdgeObservability                       0.0.0.91
Microsoft.AzureStack.Observability.OperatorCopilot                              1.0.10.0
Microsoft.AzureStack.Observability.TelemetryAndDiagnostics                      2.0.33.0
Microsoft.AzureStackHCI.AzureMonitorAlerts.Internal                             0.0.0.5
Microsoft.AzureVirtualDesktop.AzureVirtualDesktopAgent-Test                     1.0.21
Microsoft.AzureVirtualDesktop.CloudDeviceExtension                              1.1.03314.77
Microsoft.AzureVirtualDesktop.CloudDeviceExtension-Test                         1.1.03323.82
Microsoft.CloudBackup.Workload.Extension.Edp.WorkloadBackup                     1.3.0.8
Microsoft.CloudBackup.Workload.Extension.Edp.WorkloadBackupLinux                1.0.0.120
Microsoft.CloudBackup.Workload.Extension.WorkloadBackup                         1.1.0.18
Microsoft.CloudBackup.Workload.Extension.WorkloadBackupLinux                    1.0.0.19
Microsoft.Compute.BGInfo                                                        2.2.5
Microsoft.Compute.CustomScriptExtension                                         1.10.20
Microsoft.Compute.JsonADDomainExtension                                         1.3.14
Microsoft.Compute.VMAccessAgent                                                 2.4.14
Microsoft.CPlat.Core.Edp.LinuxPatchExtension                                    1.6.5
Microsoft.CPlat.Core.Edp.VMApplicationManagerLinux                              1.0.12
Microsoft.CPlat.Core.Edp.VMApplicationManagerWindows                            1.0.12
Microsoft.CPlat.Core.Edp.WindowsPatchExtension                                  1.5.16
Microsoft.CPlat.Core.LinuxHibernateExtension                                    1.0.1
Microsoft.CPlat.Core.LinuxPatchExtension                                        1.6.64
Microsoft.CPlat.Core.NullLinux                                                  4.0.1
Microsoft.CPlat.Core.NullSeqA                                                   2.0.1
Microsoft.CPlat.Core.NullSeqB                                                   2.0.1
Microsoft.CPlat.Core.NullWindows                                                4.0.0
Microsoft.CPlat.Core.NullWindows2                                               2.10.0
Microsoft.CPlat.Core.NullWindowsEmergency                                       1.2.0
Microsoft.CPlat.Core.NullWindowsEmergency1                                      1.1.1
Microsoft.CPlat.Core.OtherNullLinux                                             3.0.1
